GENE_SYMBOL	ID_REF	GSM32828	GSM32829
Ryr1	100003_at	75.7	33.3
Ints7	100004_at	1158	796.3
Traf4	100005_at	1411.4	1243.1
Cdh11	100006_at	31.9	278.2
Irf2bp1	100007_at	1679.8	1981.1
Klf3	100010_at	479.3	601.4
Klf3	100011_at	564.4	689.2
Laptm5	100012_at	240.6	185.2
Ifi35	100013_at	1669.7	1139.7
Tlk2	100014_at	516.3	445.3
Yes1	100015_at	504	684.1
Mmp11	100016_at	1140.1	1719.4
Mybph	100017_at	196.8	158.4
Slc4a2	100020_at	1753.5	1732.3
Chrna1	100021_at	143.4	110.7
Cish	100022_at	684.6	772.8
Mybl2	100023_at	273.2	927.7
Bcat1	100026_at	88.3	197.1
Pex14	100027_s_at	2938.7	2176.9
Pex14	100029_at	4964.9	3885.2
Upp1	100030_at	465.7	137.1
Sp1	100032_at	1407.7	1273.3
Msh2	100033_at	1630.5	2011.5
Ddx18	100037_at	1402.4	758.7
Cnpy2	100039_at	3183.7	3028.1
Mrpl17	100040_at	1152.4	1397.1
Slc25a39	100041_at	6304.9	6451
Hagh	100042_at	880.1	660.3
Psapl1	100043_f_at	69.8	76.6
Mthfd2	100046_at	1732	1868.1
Id1	100050_at	5099.4	3697.4
Stom	100051_at	2906.4	3099.1
D2Wsu81e	100054_s_at	470.2	410.8
Fbxw2	100056_at	1856.1	2082.9
Nsmce1	100057_at	1688.6	3219.5
Mcm3	100062_at	1652.1	2210.4
Gja1	100064_f_at	9436.3	6643.7
Gja1	100065_r_at	1237.3	1373.8
Gart	100066_at	1607.9	2157.2
Aldh1a1	100068_at	16.4	119.3
Cyp2f2	100069_at	223.6	186.5
Ciao1	100072_at	1863.4	1514.4
N6amt2	100073_at	1024.6	1237.4
Tmed9	100074_at	2678.1	2773.2
Ndufb9	100079_at	6700.5	7278.9
Stip1	100081_at	4434.9	5261.2
Hnf1a	100082_at	327.5	769.8
Ezr	100084_at	2792.6	1681.5
Lrpap1	100086_at	664	543.1
Ppp1cb	100088_at	2286.4	2093.3
Ppic	100089_at	1557.8	3633.3
Slc35b1	100091_at	4776.2	6848.2
Cdk16	100093_at	2739.4	2798.7
