GENE_SYMBOL	ID_REF	VALUE	ABS_CALL
Krtap9-1	94227_at	-982.6	A
Cox4nb	104132_at	2485.5	P
Birc5	101521_at	3715.7	P
Pdcd5	93968_at	3729.8	P
2410001C21Rik	95501_at	964.4	P
Cd93	93454_at	827.9	P
Pigf	101466_at	385.4	P
Ywhag	95716_at	15936.2	P
Nolc1	95735_at	435.5	A
Cebpa	98447_at	942.8	P
Hat1	97896_r_at	2074.7	P
Wnt8a	99361_at	-66.5	A
Car12	103905_at	50	A
1200011I18Rik	104759_at	1024.9	P
Actb	101578_f_at	19	A
2310014L17Rik	103770_at	-48	A
Derl1	93982_at	3225.7	P
4632419I22Rik	93436_i_at	172.5	P
Cmbl	96122_at	841	P
DXErtd223e	101601_at	144.6	A
Klc1	93565_at	721.9	P
Hivep2	92484_at	210.6	A
Gm13152	97154_f_at	97.9	P
Pde4dip	161728_f_at	11.4	A
Chd1	101459_at	1448	P
Chia	160509_at	128.5	A
Fhit	102628_at	335.5	A
Il7	97709_at	2.3	A
Gnrh1	101290_at	320.9	P
Comtd1	160590_r_at	450.2	P
Hoxa11as	93873_s_at	-364.7	A
Mfge8	92880_at	7447	P
Cst3	161522_i_at	10173.8	P
Mgat1	96087_at	2016.7	P
Chmp2a	97841_at	3102.3	P
Igfbp4	101570_at	-73.4	A
Prl4a1	103378_at	107.1	A
Slc5a6	104200_at	328.3	A
Fam76b	104193_at	747.5	P
Cbfa2t3	102397_at	69.2	A
Clgn	161734_r_at	675.2	A
Ythdf2	94895_at	574.8	P
Psme4	104115_at	2455	P
Nos2	104420_at	80.4	A
Rpl37a	93822_at	16276.9	P
Acly	160207_at	5253.5	P
Nfkb1	98427_s_at	4250.2	P
Msx2	102956_at	-84.1	A
D10Jhu81e	96757_at	540.8	A
Nfatc2ip	100699_at	-100.9	A
Rnf103	97972_at	700.2	P
Sf3a1	96027_at	978.8	P
Nvl	95357_at	239.9	A
Ibsp	100476_at	64.6	A
Mpp1	97803_at	11449.4	P
Tomm34	104532_at	2069.3	A
Fabp9	94927_at	9.7	A
1110049F12Rik	160329_at	518	P
Gzma	102995_s_at	41.6	A
Sptlc2	100893_at	1930.6	P
Ndufb11	96887_at	5661.3	P
Rprm	162258_f_at	72.9	A
Ace	160927_at	35.1	A
Galm	162031_f_at	1194.4	A
Mthfd2	100046_at	1732	P
C2cd3	102357_at	1.8	A
Fmn1	162024_at	-272.2	A
1810009A15Rik	103565_at	3683.1	P
Fen1	97327_at	1418.7	P
Cct3	98446_s_at	5331.5	P
Prc1	95032_at	2799	P
Cmpk2	161186_f_at	-13.8	A
Azi2	94006_at	126	A
Mug1	92837_f_at	-88.8	A
Gtf2i	94296_s_at	794.1	P
Snx4	97818_at	3425.2	P
Ubap1	96286_at	2031.6	P
Ak4	99521_at	141.1	A
Ms4a4d	103256_at	72.4	A
Cep110	98303_at	190.4	P
Itgb2	102353_at	129.8	A
1810037I17Rik	102234_at	-115.2	A
Fcgr1	101793_at	-643.2	A
Evi2a	98026_g_at	571.9	P
Naa30	104404_at	464.4	M
Hspb11	104085_at	474.6	P
Nfe2l1	160535_at	4830.1	P
Sfxn2	103706_at	294.3	P
Actc1	101029_f_at	2166.1	P
Cuta	95114_s_at	2500	P
Ntrk2	99069_at	-60.4	A
Pmpcb	94005_at	812.7	P
Ddx25	92678_at	129.2	M
Mlst8	98513_at	702.2	P
Gabrd	99342_at	-131.5	A
Rpl18	160476_f_at	17644.8	P
Tm9sf3	96276_r_at	823.5	P
Sep15	96249_at	8233.3	P
Ift81	102215_at	780.6	P
Ankzf1	161333_f_at	278.1	P
Dyrk1a	104079_at	950.7	P
Eif4b	100557_g_at	10161.3	P
Ctnnal1	94174_at	175.2	A
Cryaa	102393_at	-85.9	A
Nit1	160075_at	446.7	P
Zdhhc6	104583_at	941.9	P
Ubfd1	103860_at	-29.5	A
Fut1	99381_at	-327	A
Ddx47	162489_i_at	867.3	P
Pepd	101042_f_at	675.8	P
Phex	96502_at	114.3	A
Deb1	95478_at	463.1	P
Ip6k1	162092_f_at	14.3	A
AW121686	97188_at	19.8	A
Wdr78	101470_at	149.3	A
Tesk1	102033_at	796.5	A
Ltv1	160521_at	248.4	P
Zfand2a	160713_at	609.1	P
Il1rl1	98501_at	15143.1	P
Purb	101395_at	236.4	A
Tspo2	103512_at	36.2	A
Krr1	160427_at	1276.7	P
Cttn	94054_at	9359.8	P
Atg14	161697_r_at	-52.4	A
Dsc2	103506_f_at	-9.4	A
Med22	161561_r_at	782.1	A
Nars	95070_at	3818.6	P
Nbr1	101484_at	3109.4	P
Zp1	95932_at	-213.7	A
Slc30a3	102683_at	2076.3	P
Kdelr3	104464_s_at	2944.3	P
AA409749	100742_at	142.4	A
Pigk	160105_r_at	156.5	A
Nr2c1	92190_at	429.5	P
Thbs3	103869_at	411.4	P
Sec11a	99655_at	2823.6	P
Rpl38	99627_r_at	190.9	A
Evx2	96507_at	-134.6	A
Acp6	162336_r_at	-146.2	A
Ogn	160877_at	191.9	P
Triap1	97277_at	606.8	P
C78891	98598_at	-38.8	A
Tfpi	98514_at	150.3	P
Rnf4	93782_at	5722.1	P
Zfp51	102872_f_at	154.6	P
Cfdp1	93784_at	2007.1	P
Gna13	104316_at	366.6	P
Calb2	95036_at	31.8	A
Mettl9	95045_at	1644.9	P
Reep1	161878_r_at	73	A
Fosl1	99835_at	3986.1	P
Plrg1	101064_at	1811.4	P
Car3	160375_at	8.2	A
Nrbp2	102207_at	343.2	P
Eps15l1	98497_at	7.7	A
Sprr2b	99701_f_at	333.5	M
Crip1	94061_at	-118.4	A
Foxj1	98831_at	437.6	A
Itsn1	104522_at	792.2	P
Mrpl4	95736_at	2443	P
Tmem214	97400_at	-113.1	A
Trpv2	98963_at	206.2	A
Pdcd4	103029_at	785.7	P
1110014N23Rik	96839_at	233.6	M
Pabpc2	101938_at	288.2	A
Pten	94988_at	120.8	A
Ptprj	92984_g_at	180	P
Itpr1	93895_s_at	322.7	P
Aym1	102079_at	385.8	A
Slc4a2	100020_at	1753.5	P
Scn1b	102808_at	-235.6	A
Prl7d1	98023_r_at	-33.1	A
Cdcp1	104198_at	333	A
Hsd17b10	101045_at	2587.3	P
Dalrd3	161766_i_at	-20.9	A
R3hcc1	95551_at	608.2	P
Igk-V1	101656_f_at	-49.3	A
2410015M20Rik	98039_at	3401.4	P
Fam134a	95401_at	2263.6	P
Mtm1	96199_at	415.9	P
Mmp7	92917_at	-88.5	A
F8	94799_at	-33.1	A
Itih4	98467_at	-194.7	A
Glra1	100385_at	591.1	A
Polr1d	161852_i_at	-53.4	A
C330007P06Rik	103695_f_at	4076	P
Atf5	103006_at	726.7	P
Tarbp2	103101_at	1093	P
Cdk2	94412_at	927.6	P
Nqo1	100725_at	45.1	A
Gtf2h1	94812_at	456.3	P
Prpf38b	97919_at	592.3	P
Errfi1	93975_at	8224	P
Tulp2	160863_at	42.3	A
Aadac	95439_at	-14.4	A
Tanc1	161203_f_at	13.2	A
Tspan33	104398_at	-79.3	A
Vwf	97052_at	-194.3	A
Cadm1	93605_r_at	-15	A
St6galnac5	92403_at	-15.7	A
Hoxd1	98819_at	-370.6	A
Nucb1	94839_at	2165.2	P
Tmem223	96017_at	2086	P
Mki67	99457_at	1778.6	P
Mcm3	160496_s_at	4234.2	P
Npepps	96259_at	2110.1	P
Nub1	161580_f_at	77.8	A
Gna14	95364_at	-25.2	A
Kcnk1	102335_at	323.1	P
A130082M07Rik	97944_f_at	399.8	A
Col11a1	100481_at	57.7	A
Wdr20a	104117_at	225.2	A
Igh-2	97009_f_at	-0.9	A
Emp1	97426_at	19749.1	P
Rab3b	160868_at	-844	A
Jag2	92510_at	-164.2	A
Apoa4	100078_at	-113.8	A
Dtl	104423_at	968.5	P
Slc6a20b	92454_at	362.2	A
Gstm5	100629_at	403.1	P
Rhox6	102212_at	-70.5	A
Atxn1	98854_at	21.4	A
Dolpp1	94373_at	1180.2	P
Adam5	99474_at	38.9	A
Map3k2	101175_at	109.1	A
