"","GSM6207","GSM6208","GSM6209","GSM6210","GSM6211","GSM6212","GSM6213","GSM6214","GSM6215","GSM6216","GSM6217","GSM6218"
"Lipf:A01157cds_s_at",NA,4.64385618977472,6.11478344724985,5.92837032301897,5.66959375118833,5.35755200461808,6.58044701959866,NA,5.1333991254172,3.93545974780529,4.30742852519225,NA
"Serpine2:A03913cds_s_at",8.85237344958027,8.98299357469431,8.84705734609134,9.32687885483841,9.05609575603812,8.27052894238072,9.4112991229642,7.85611423397746,8.69348695749932,9.16591193893569,9.34362989495905,9.81490285121536
"LOC100909612///Ucp1:A04674cds_s_at",NA,NA,NA,NA,NA,4.83794324189103,NA,NA,NA,5.63517394667492,NA,NA
"Smr3b:A07543cds_s_at",7.34695688937888,6.77741971551583,5.1333991254172,6.98754825895374,6.83289001416474,7.13955135239879,6.17592374206376,7.1168637576909,7.39746072605472,7.16390121381454,7.24982454861618,4.64385618977472
"Igfbp2:A09811cds_s_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rln1:A16585cds_s_at",NA,5.61765111942733,3.05311133645956,6.52199295640167,6.45285896471381,6.91647664443772,7.16490692667569,4.05311133645956,6.40599235967584,5.73335434061383,4.52356195605701,3.56071495447448
"Drd3:A17753cds_s_at",NA,7.05202456048283,NA,7.9692426044345,NA,NA,NA,NA,NA,4.53605290024021,7.13852780142227,6.42794133250948
"Cd44:A30543cds_s_at",11.0098985814835,9.31492306173917,10.5778064474701,10.5518043740114,10.4086481813472,10.8335226364248,11.181027988375,8.08161658331465,8.80380823450765,9.6174674652942,10.0056245491939,11.1249613465888
"Ephb3:A44407cds_at",7.33806779754262,6.88752527074159,8.73978060977326,8.4606606646076,8.75655632252409,8.03837033173068,8.19721669311005,5.3037807481771,7.28725064325462,7.61911951145322,6.68369645430652,8.17841587438304
"Hsph1:AA108277_at",10.5486292794391,8.19081236791614,8.88447581908648,9.70424950200186,8.77676200178623,8.17841587438304,7.51175265376738,7.52591226074335,7.69835740595729,8.77379857375169,7.41616416473313,8.10852445677817
"Mdm2:AA108308_i_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mdm2:AA108308_s_at",9.76221591572778,9.25148241062021,8.72587745912023,9.12670447284319,9.07868454619464,9.49825086752783,9.4592266758085,9.24460168773681,9.13134253912326,9.65051327167617,9.47735352663456,9.81313985089045
"Ndufb5:AA684537_at",10.3594201402864,10.9428077062428,10.495155489916,10.388124945137,10.0372723902463,9.80976812871041,9.42836017270429,10.9824945325978,11.0631928201426,10.8576700359625,10.9208738586083,10.9821379682399
