"","GSM1387702","GSM1387703","GSM1387700","GSM1387701"
"MIR4640///DDR1:1007_s_at",NA,NA,NA,NA
"RFC2:1053_at",NA,NA,NA,NA
"HSPA6:117_at",NA,NA,NA,NA
"PAX8:121_at",NA,NA,NA,NA
"GUCA1A:1255_g_at",NA,NA,NA,NA
"MIR5193///UBA7:1294_at",NA,NA,NA,NA
"THRA:1316_at",NA,NA,NA,NA
"PTPN21:1320_at",4.62175885670973,4.83491342970104,4.36317107711924,3.65992455840238
"CCL5:1405_i_at",1.75702324650746,3.18269229751619,3.3547342399706,2.56803210477128
"CYP2E1:1431_at",NA,NA,NA,NA
"EPHB3:1438_at",NA,NA,NA,NA
"ESRRA:1487_at",NA,NA,NA,NA
"CYP2A6:1494_f_at",NA,NA,NA,NA
"SCARB1:1552256_a_at",NA,NA,NA,NA
"TTLL12:1552257_a_at",NA,NA,NA,NA
"LOC101930489///LINC00152:1552258_at",5.45121111183233,5.55243855525354,5.19888699095693,5.28169825009883
"WFDC2:1552261_at",5.4870360800319,5.538227739736,5.15015345524625,4.68201139080069
"MAPK1:1552263_at",NA,NA,NA,NA
"MAPK1:1552264_a_at",NA,NA,NA,NA
"ADAM32:1552266_at",3.63226821549951,1.36737106564853,3.72683121703249,4.06350294230616
"SPATA17:1552269_at",NA,NA,NA,NA
"PRR22:1552271_at",NA,NA,NA,NA
"PRR22:1552272_a_at",NA,NA,NA,NA
"PXK:1552274_at",NA,NA,NA,NA
"PXK:1552275_s_at",NA,NA,NA,NA
"VPS18:1552276_a_at",NA,NA,NA,NA
"MSANTD3:1552277_a_at",NA,NA,NA,NA
"SLC46A1:1552278_a_at",NA,NA,NA,NA
"SLC46A1:1552279_a_at",NA,NA,NA,NA
"TIMD4:1552280_at",NA,NA,NA,NA
"SLC39A5:1552281_at",NA,NA,NA,NA
"ZDHHC11B///ZDHHC11:1552283_s_at",NA,NA,NA,NA
"ATP6V1E2:1552286_at",NA,NA,NA,NA
"AFG3L1P:1552287_s_at",NA,NA,NA,NA
"CILP2:1552288_at",NA,NA,NA,NA
"CILP2:1552289_a_at",NA,NA,NA,NA
"PIGX:1552291_at",NA,NA,NA,NA
"TMEM196:1552293_at",NA,NA,NA,NA
"SLC39A13:1552295_a_at",NA,NA,NA,NA
"BEST4:1552296_at",NA,NA,NA,NA
"AK9:1552299_at",NA,NA,NA,NA
"CORO6:1552301_a_at",NA,NA,NA,NA
"TMEM106A:1552302_at",7.91169158187234,8.01407627948849,7.62695012237251,7.54697160729232
"TMEM106A:1552303_a_at",NA,NA,NA,NA
"ALG10:1552304_at",NA,NA,NA,NA
"ALG10:1552306_at",NA,NA,NA,NA
"TTC39C:1552307_a_at",NA,NA,NA,NA
"NEXN:1552309_a_at",2.54843662469604,1.98550043030488,1.85598969730848,2.54843662469604
"C15orf40:1552310_at",NA,NA,NA,NA
"RAX2:1552311_a_at",3.18428029441938,2.4541758931858,3.73984810269933,2.32192809488736
"MFAP3:1552312_a_at",NA,NA,NA,NA
"EYA3:1552314_a_at",NA,NA,NA,NA
"GIMAP1:1552315_at",NA,NA,NA,NA
"GIMAP1:1552316_a_at",3.78555055173926,3.68144926531496,4.72191944555154,4.16188768237689
"GIMAP1:1552318_at",0.7311832415722,1.34482849699744,2.24792751344359,2.90496571868403
"KLK8:1552319_a_at",NA,NA,NA,NA
"CCDC65:1552320_a_at",2.42223300068305,0,1.96347412397489,2.30742852519225
"CCDC65:1552321_a_at",NA,NA,NA,NA
"FAM122C:1552322_at",3.54596836910529,3.29425313644451,2.78868571061353,3.76977173924945
"FAM122C:1552323_s_at",NA,NA,NA,NA
"CFAP53:1552325_at",4.69988472869748,3.52356195605701,4.28243980500639,3.5837597536395
"CFAP53:1552326_a_at",NA,NA,NA,NA
"ARMCX4:1552327_at",2.790772037862,4.03210084316702,3.21878116778407,3.99457972421575
"RBBP6:1552329_at",NA,NA,NA,NA
"CENPBD1:1552330_at",NA,NA,NA,NA
"TRIOBP:1552332_at",NA,NA,NA,NA
"TRIOBP:1552334_at",NA,NA,NA,NA
"CATSPER1:1552335_at",NA,NA,NA,NA
"HOXD4:1552337_s_at",NA,NA,NA,NA
"GSC:1552338_at",NA,NA,NA,NA
"SP7:1552340_at",NA,NA,NA,NA
"PDE7A:1552343_s_at",4.04788732939655,4.52481592835751,4.268284666521,4.53356334821451
"CNOT7:1552344_s_at",NA,NA,NA,NA
"CRYZL1:1552347_at",NA,NA,NA,NA
"PRSS33:1552348_at",NA,NA,NA,NA
"PRSS33:1552349_a_at",2.56071495447448,4.29719141656586,3.34624777408278,3.93357263826102
"CBARP:1552354_at",NA,NA,NA,NA
"CBARP:1552355_s_at",NA,NA,NA,NA
"MCMDC2:1552359_at",3.50842865253186,3.86492897228979,4.05137210172103,3.45154083301783
"TIRAP:1552360_a_at",NA,NA,NA,NA
"LEAP2:1552362_a_at",NA,NA,NA,NA
