gene.symbol,log.expect
PRMT5,-187.3
KRT1,-125.9
EIF3B,-109.7
WDR77,-105.8
KRT9,-76.9
TTN,-55.7
EIF3L,-51.1
EIF3K,-36.7
KRT10,-36.1
HSPG2,-32.5
EIF3H,-31.7
EIF3F,-28.2
MAP2,-26.7
LRP1,-25.5
TRIM21,-23.6
EIF3D,-21.2
EIF3I,-20.5
MUC16,-19.9
NENF,-19.9
EIF3E,-18.8
CHD5,-16.0
ZNF513,-14.9
SDAD1,-14.6
SSTR3,-14.3
ADAMTS8,-14.2
KRT8,-14.2
RCN1,-13.8
SNRPD3,-13.8
AHNAK2,-13.7
CRB3,-13.5
JMJD1B,-13.4
SNAPC4,-13.4
IRS4,-13.3
THBS4,-13.3
LOC100129958,-12.1
KRT80,-12.0
SNRPB,-11.6
STK38L,-11.4
LOC340947,-8.8
TM9SF2,-8.7
MYO15A,-8.6
SLC10A3,-8.5
TAS2R41,-8.4
ABCD2,-8.0
C10orf72,-8.0
EPB41L3,-8.0
RPL23A_31_1517,-8.0
ANKRD29,-7.9
C20orf24,-7.9
SCAF1,-7.9
LOC100134708,-7.8
NFASC,-7.8
SIGLEC8,-7.8
KIF14,-7.7
LRIG1,-7.7
NLRP9,-7.7
PPP4R1,-7.7
CYP2F1,-7.6
GARS,-7.6
MAP3K4,-7.6
RNF133,-7.6
STK38,-7.6
GJB5,-7.5
RIN1,-7.5
RPLP2,-7.5
UNC45B,-7.5
WBSCR28,-7.5
INPP4B,-7.4
LCTL,-7.4
NUCB1,-7.4
PFKL,-7.4
SCN4A,-7.4
WTIP,-7.4
ZNF551,-7.4
ADCK2,-7.3
ATP8A2,-7.3
BCAS1,-7.3
CNNM3,-7.3
PRPS1,-7.3
PRPS2,-7.3
ABCC3,-7.2
COG1,-7.2
IPO8,-7.2
LOC340602,-7.2
PLXNB3,-7.2
PTGFRN,-7.2
SLC47A1,-7.2
CLASP1,-7.1
GDF7,-7.1
KRT2,-7.1
LOC392288,-7.1
COL6A6,-7.0
WIPF2,-7.0
C20orf39,-6.9
NAV1,-6.9
UBE2CBP,-6.9
GFAP,-6.2
hCG_1988300,-6.2
KRT4,-6.2
KRT7,-6.2
LOC119358,-3.1
SNRPD2,-3.1
B3GALTL,-2.8
CRB1,-2.8
PTS,-2.8
SIGLEC12,-2.7
CLNS1A,-2.4
MPRIP,-2.4
LOC220594,-2.3
TFAP2B,-2.3
EIF3M,-2.2
HSPD1,-2.1
RPLP1,-2.0
RPLP1_3_298,-2.0
TBC1D1,-2.0
C10orf131,-1.9
CCDC25,-1.9
PODXL,-1.9
HSP90B1,-1.8
SRL,-1.8
WDR22,-1.7
LEFTY2,-1.6
LOC344065,-1.6
SGCE,-1.6
SLC35D3,-1.6
SPSB2,-1.6
TAF9,-1.6
ARHGEF9,-1.5
IDO1,-1.5
JMJD2B,-1.5
KIAA1967,-1.5
MYO7A,-1.5
OR51A7,-1.5
PPP2R5E,-1.5
RASL10A,-1.5
SETD5,-1.5
C7orf63,-1.4
CAPN11,-1.4
HNF4G,-1.4
ITPR2,-1.4
KIAA0644,-1.4
LMAN1L,-1.4
LOC100134488,-1.4
LRP8,-1.4
RPGRIP1,-1.4
SHROOM3,-1.4
WDR63,-1.4
AACS,-1.3
CCT6A,-1.3
CD3EAP,-1.3
CFHR2,-1.3
GPKOW,-1.3
IL16,-1.3
ITPR1,-1.3
LGMN,-1.3
MAP3K13,-1.3
OR51G2,-1.3
PSMA3,-1.3
PTER,-1.3
YTHDF3,-1.3
ZNF680,-1.3
ACTA1,-1.2
ADAMTS10,-1.2
CCDC17,-1.2
CLASP2,-1.2
CTAGEP,-1.2
DOC2B,-1.2
DOC2BL,-1.2
EFCAB6,-1.2
EPHB4,-1.2
GPR158,-1.2
H2BFM,-1.2
HAL,-1.2
KIAA1432,-1.2
LOC100129781,-1.2
LOC100134303,-1.2
LOC728351,-1.2
LRFN4,-1.2
MMP28,-1.2
MYO16,-1.2
NGDN,-1.2
PLA2G1B,-1.2
PPP1CC,-1.2
RGL2,-1.2
SEC24D,-1.2
ST14,-1.2
TNFRSF9,-1.2
UHRF1BP1L,-1.2
UNQ5836,-1.2
ZCCHC14,-1.2
ACD,-1.1
ACVR1C,-1.1
AIF1,-1.1
ALDH18A1,-1.1
ARMC2,-1.1
C10orf12,-1.1
C3orf16,-1.1
CACNA2D4,-1.1
CCDC94,-1.1
DSG1,-1.1
FAM132A,-1.1
FLJ40092,-1.1
FNDC7,-1.1
FUT4,-1.1
HBG1,-1.1
HEBP2,-1.1
HELZ,-1.1
LOC643224,-1.1
MFI2,-1.1
NLRP2,-1.1
PCDHGC4,-1.1
PLK5P,-1.1
PNPLA5,-1.1
SLC38A8,-1.1
TECTB,-1.1
TMEM151B,-1.1
UBA7,-1.1
UBTD2,-1.1
ZNF419,-1.1
LOC100129152,-1.0
PRAMEF10,-1.0
URG4,-1.0
