gene.symbol,log.expect
TTN,-134.5
EIF4E,-99.7
LOC100131693,-92.4
UBAC1,-84.8
TUBA1B,-82.6
TUBA1A,-81.5
TUBA4A,-65.4
WDR77,-57.4
TUBB,-55.4
KRT9,-55.0
TRIM21,-52.8
TUBA8,-49.0
TUBB2C,-48.8
HSPA8,-46.6
EIF4EBP1,-46.5
COL9A2,-43.5
BRAF,-41.2
TUBB2A,-39.1
TUBB2B,-39.1
TUBA1C,-38.6
SYNE2,-36.9
CMYA5,-34.7
LOC92755,-30.1
IGSF8,-29.2
CRISP2,-27.6
NCOA6,-27.5
PPRC1,-27.4
DHX29,-27.0
HSPA1L,-26.0
HSPA6,-24.8
KRT1,-24.8
PRMT5,-24.0
ODZ3,-23.7
LRCH4,-22.5
CDH2,-22.1
DGKI,-22.0
BCL11B,-21.8
DOCK6,-21.8
LRP8,-21.7
STRC,-21.6
STRCP,-21.6
AKAP9,-21.5
DENND4A,-21.5
SLC25A43,-21.5
LAMB2,-21.3
PDE3A,-21.3
OTOG,-21.1
YBX2,-21.1
SV2B,-21.0
TNXB,-21.0
GOLGA4,-20.9
RYR1,-20.9
HSPG2,-20.8
TUBB3,-20.8
TUBB4,-19.8
TUBB6,-19.4
CRB1,-18.5
ACTB,-17.4
ACTG1,-17.4
HSPA7,-16.6
ACTBL3,-15.9
KRT10,-15.8
LOC100133473,-15.7
FLJ22662,-15.5
FLJ45455,-15.3
GPRIN1,-15.3
TUBA4B,-15.3
ATF6B,-15.2
UBQLN2,-15.1
WDR87,-15.1
LOC390213,-15.0
RNMT,-15.0
SPAG9,-15.0
DDHD1,-14.9
ITGB2,-14.9
ADAM11,-14.8
EPC1,-14.8
GSR,-14.8
C16orf89,-14.7
SEMA7A,-14.7
DNAH14,-14.6
PTGER1,-14.6
DLEC1,-14.5
HECW2,-14.5
PRKAG3,-14.5
RSF1,-14.5
SLCO1C1,-14.5
ATRIP,-14.4
MYSM1,-14.4
COL1A2,-14.3
DENND4C,-14.3
FAM82A1,-14.3
HCFC1,-14.3
P2RY1,-14.3
SORL1,-14.3
ATAD5,-14.2
DEAF1,-14.2
TM9SF2,-14.2
PDCD11,-14.1
PEX6,-14.1
PEAR1,-14.0
PKHD1L1,-14.0
EEF1A1,-12.4
CLNS1A,-11.1
BBS10,-10.2
USP34,-9.8
PRKD1,-9.7
SPNS2,-9.7
SYDE2,-9.6
DNAJB6,-9.1
NPR3,-9.1
DHX32,-9.0
ATP7B,-8.9
ZNF592,-8.9
ACTA1,-8.8
ACTA2,-8.8
ACTBL2,-8.8
ACTC1,-8.8
ACTG2,-8.8
ADNP,-8.8
IGF2AS,-8.8
PLXND1,-8.8
STT3A,-8.8
ZNF660,-8.8
CXorf57,-8.7
MSH3,-8.7
RGS10,-8.7
HFM1,-8.6
KIAA1429,-8.5
LOC729523,-8.5
LOC732210,-8.5
SLC30A5,-8.5
FRAS1,-8.4
HAVCR1,-8.4
JAK2,-8.4
LOC400043,-8.4
P2RX6,-8.4
PSAP,-8.4
GNL2,-8.3
LPPR4,-8.3
NPR1,-8.3
PACRG,-8.3
PLA2G2A,-8.3
USP9Y,-8.3
ASB6,-8.2
C4orf29,-8.2
EP300,-8.2
ILF3,-8.2
LOC645390,-8.2
RELA,-8.2
SLC47A2,-8.2
SPINT2,-8.2
STRN,-8.2
ZP1,-8.2
AIF1L,-8.1
GFOD2,-8.1
MAPKAPK5,-8.1
ADCY6,-8.0
C12orf63,-8.0
FBXL18,-8.0
FLG,-8.0
GBP7,-8.0
hCG_1653094,-8.0
MICALCL,-8.0
PTPRS,-8.0
SLC25A32,-8.0
WNT7B,-8.0
ZNF407,-8.0
CECR6,-7.9
CYP7B1,-7.9
FAM58B,-7.9
RHOBTB3,-7.9
RTP4,-7.9
SLK,-7.9
SSH1,-7.9
URB2,-7.9
C3orf47,-7.8
COL6A1,-7.8
CSPG5,-7.8
FANCI,-7.8
FLG2,-7.8
GRIA1,-7.8
GRM5,-7.8
LOC731109,-7.8
NUMA1,-7.8
PPBPL2,-7.8
SCRT2,-7.8
UBA5,-7.8
WTIP,-7.8
ADRB3,-7.7
CCDC55,-7.7
DOK4,-7.7
FOS,-7.7
LOC100132731,-7.7
MT1M,-7.7
RB1CC1,-7.7
RYR2,-7.7
BTN1A1,-7.6
C14orf133,-7.6
TCTN2,-7.6
TFCP2L1,-7.6
MED13L,-7.5
LOC643224,-5.7
CHDH,-3.2
ENO1,-3.2
LPAR3,-2.8
EEF1A2,-2.7
MAP7D1,-2.4
LOC387720,-2.3
BIVM,-2.2
LOC643123,-2.2
CCDC47,-2.1
GDF9,-2.1
LOC440716,-2.1
NSUN2,-2.1
ASCC2,-2.0
C15orf15,-2.0
DECR1,-2.0
TLR2,-2.0
ZBTB6,-1.9
ZNF584,-1.9
FAM69B,-1.8
MAGEB16,-1.8
PPM1G,-1.8
PTPRH,-1.8
TIGD1,-1.8
C2orf55,-1.7
CAMLG,-1.7
CYP2A6,-1.7
CYP2A7,-1.7
CYP3A5,-1.7
FBXW8,-1.7
GLCE,-1.7
ITGB1BP1,-1.7
LOC100132644,-1.7
MYO1H,-1.7
NEK11,-1.7
PRUNE2,-1.7
SNRK,-1.7
ZNF224,-1.7
CDC2L2,-1.6
DR1,-1.6
EDA2R,-1.6
LOC285501,-1.6
MEPCE,-1.6
NDUFC1,-1.6
SLMO2,-1.6
ZNF549,-1.6
ABHD5,-1.5
C16orf84,-1.5
CCT2,-1.5
DLX6,-1.5
FRMD4B,-1.5
ING2,-1.5
LCTL,-1.5
LOC645277,-1.5
LOC728752,-1.5
NCRNA00153,-1.5
PTCD2,-1.5
TMEM145,-1.5
TPTE,-1.5
TRIP11,-1.5
TTC34,-1.5
ZNF518B,-1.5
ABCC3,-1.4
CAPN7,-1.4
CEP164,-1.4
DTWD1,-1.4
EMB,-1.4
FAM182A,-1.4
LAMA1,-1.4
LOC100133756,-1.4
LOXL1,-1.4
NCOA3,-1.4
NLGN2,-1.4
OR52N1,-1.4
PCDH17,-1.4
PIK3CA,-1.4
PLK2,-1.4
PSKH1,-1.4
PTN,-1.4
SASH1,-1.4
SLC10A4,-1.4
TBC1D22B,-1.4
TR2IT1,-1.4
ZCCHC11,-1.4
ARHGEF4,-1.3
ARVCF,-1.3
C15orf59,-1.3
C6orf155,-1.3
C9orf96,-1.3
CADPS2,-1.3
CD1B,-1.3
CSRNP3,-1.3
DAK,-1.3
DDB1,-1.3
DIRAS3,-1.3
FBLN2,-1.3
GPC4,-1.3
HELB,-1.3
IGSF10,-1.3
KIF5A,-1.3
LOC282992,-1.3
LOC649279,-1.3
MAN1A2,-1.3
MAP4K3,-1.3
MYO1A,-1.3
NCKIPSD,-1.3
OR6V1,-1.3
OVCH1,-1.3
PABPC4,-1.3
PCIF1,-1.3
PON3,-1.3
PPP1R12A,-1.3
RLTPR,-1.3
RNF125,-1.3
SCD,-1.3
SIGLEC10,-1.3
TET1,-1.3
TM7SF3,-1.3
UBE2E1,-1.3
WNT10A,-1.3
ABCA13,-1.2
ACSL1,-1.2
BECN1L1,-1.2
BREA2,-1.2
C11orf70,-1.2
C12orf40,-1.2
CDH13,-1.2
CGNL1,-1.2
DDX46,-1.2
DLL1,-1.2
EFCAB7,-1.2
ENTPD8,-1.2
FNBP1,-1.2
HELZ,-1.2
IKZF4,-1.2
IL1RL1,-1.2
KPNA4,-1.2
MARCH7,-1.2
MOBKL1B,-1.2
NDST3,-1.2
NDUFA7,-1.2
RIC8B,-1.2
RUNDC1,-1.2
SPTBN5,-1.2
TAF4B,-1.2
ULK1,-1.2
ACADS,-1.1
ADAM30,-1.1
ALG1,-1.1
APOB48R,-1.1
ARAF,-1.1
ARHGAP18,-1.1
C20orf39,-1.1
CCDC110,-1.1
CEP250,-1.1
CNTFR,-1.1
DCLRE1A,-1.1
EIF4G2,-1.1
GARS,-1.1
IFT140,-1.1
ITPR2,-1.1
KIF13B,-1.1
LHX3,-1.1
LMBR1L,-1.1
LOC100131017,-1.1
LOC375337,-1.1
LOC730036,-1.1
PIK3C2G,-1.1
PITPNM3,-1.1
PLK1,-1.1
PNN,-1.1
PPM1F,-1.1
RAPGEF6,-1.1
RAPGEFL1,-1.1
RBPJ,-1.1
RNF43,-1.1
RRP12,-1.1
SART1,-1.1
SERPINB4,-1.1
SLC23A1,-1.1
TBC1D9B,-1.1
TDRD3,-1.1
TMEM64,-1.1
TMX3,-1.1
UBTFL1,-1.1
XRN1,-1.1
ZMYM6,-1.1
ZNF671,-1.1
C12orf4,-1.0
ELAVL2,-1.0
F3,-1.0
GRIA2,-1.0
GRIA3,-1.0
GRIA4,-1.0
KLHL5,-1.0
LOC196913,-1.0
NCDN,-1.0
NKTR,-1.0
PLCE1,-1.0
PYGO2,-1.0
SEMA5A,-1.0
SGCE,-1.0
TRPC5,-1.0
UBAP2,-1.0
WBSCR17,-1.0
