gene.symbol,log.expect
Hspa8,-458.4
Pkm2,-389.9
Hspd1,-338.7
Tubb5,-330.7
Tubb2c,-316.4
Tuba1a,-274.3
Tuba1b,-273.9
Atp5b,-269.5
Tubb2a,-260.9
Tubb2b,-260.9
Hspa5,-260.1
OTTMUSG00000005441,-259.4
Tubb4,-258.1
Tuba1c,-246.3
Cct2,-225.8
Cct3,-220.9
Tuba4a,-217.4
Tubb3,-215.7
Atp5a1,-215.6
Tkt,-205.0
EG434428,-201.9
Pdia3,-198.4
Cct8,-195.4
Eno1,-194.6
Cct4,-182.1
Stip1,-177.6
Cct7,-174.1
Hnrnpk,-173.3
Hspa9,-165.2
Cct6a,-158.5
Tubb6,-157.3
Tcp1,-151.9
Fkbp4,-151.7
Hspa2,-146.7
Rpl4,-146.4
Eef1a1,-142.7
Eef1g,-139.4
Tuba8,-137.8
Gpi1,-137.4
Pabpc1,-127.6
Impdh2,-125.3
OTTMUSG00000019498,-125.3
Cct5,-122.5
Gdi2,-119.5
Igf2bp1,-115.0
Ruvbl2,-115.0
Ppp2r1a,-113.0
LOC100047882,-108.0
EG433283,-104.0
Serbp1,-102.3
Psmc3,-100.6
Trap1,-93.7
Nap1l1,-92.6
Ezr,-90.9
P4hb,-88.1
Atic,-87.1
LOC676974,-85.9
Canx,-85.2
Shmt2,-84.1
G3bp1,-83.8
Hsp90aa1,-83.7
LOC631033,-80.4
Hspa1l,-75.6
Pabpc4,-71.8
LOC100046302,-70.9
Hspa1b,-68.4
Pdia6,-68.1
Phgdh,-66.6
Aldh2,-63.8
Pgd,-63.7
Kars,-61.5
Eno3,-61.4
Pabpc2,-61.4
Eef1a2,-61.0
Rbbp4,-59.9
Glud1,-59.2
Ruvbl1,-59.1
Hsp90ab1,-57.6
Psmc4,-57.3
Ptbp1,-55.3
Hnrnpf,-52.9
D1Pas1,-52.3
Ddx3x,-52.3
Ddx3y,-52.3
Pabpc3,-52.1
Psmc1,-51.8
Asns,-50.6
Calr,-50.5
100042959,-49.8
Psmc2,-49.8
Syncrip,-49.3
OTTMUSG00000007761,-48.1
LOC100047092,-48.0
Adss,-47.5
Ddx5,-46.4
Txnrd1,-46.4
Lyar,-46.2
Sars,-46.1
Ssb,-45.8
Pdia4,-45.2
Rbbp7,-44.4
100039840,-42.5
100040109,-42.5
100041236,-42.5
100042427,-42.5
ENSMUSG00000070025,-42.5
LOC100042025,-42.5
LOC100047352,-42.5
LOC100048117,-42.5
Msn,-42.4
Rdx,-42.4
LOC100046628,-42.3
LOC633387,-42.3
Npm1,-42.3
LOC100048743,-41.6
Tubb1,-39.5
Eif3eip,-39.4
Gars,-39.2
Umps,-39.2
Psmd3,-39.1
Atxn10,-38.3
LOC641192,-38.2
100039419,-38.0
Eif2s3x,-38.0
LOC100048746,-38.0
Usp14,-37.9
Hnrnph1,-36.9
Lap3,-36.1
Fubp1,-35.7
Nap1l4,-35.2
Rcc2,-35.0
LOC100047232,-34.1
OTTMUSG00000007757,-34.1
OTTMUSG00000011310,-34.1
Dars,-33.2
LOC100045908,-30.6
G3bp2,-30.3
100041204,-30.1
100043724,-30.1
ENSMUSG00000070408,-30.1
ENSMUSG00000072432,-30.1
Etf1,-30.1
LOC100044981,-30.1
OTTMUSG00000014946,-30.1
Cct6b,-29.8
Eif2s3y,-29.4
Eif3f,-29.4
Fh1,-29.2
Psmd12,-28.9
Rars,-28.7
Uqcrc1,-27.7
Cndp2,-27.5
Sdha,-26.8
Hnrnpm,-26.7
Nono,-26.6
Eno2,-26.5
Fscn1,-26.4
Xpnpep1,-26.3
Eif4b,-26.1
Ppp2r1b,-26.0
Sept11,-25.6
Api5,-24.7
Tubal3,-24.0
Hnrnph2,-23.7
Nars,-23.7
M6prbp1,-22.9
EG666342,-21.8
LOC100039762,-21.8
Gdi1,-21.6
St13,-21.1
Krt1,-20.9
Smarcd1,-20.9
Isyna1,-20.8
Gmps,-20.7
Cdc37,-20.5
Yars,-20.5
Tmpo,-20.4
Adsl,-20.3
EG434373,-20.3
Ppat,-20.1
Rpn1,-20.0
A230054D04Rik,-19.9
Eif2a,-19.8
Krt71,-19.1
Krt73,-19.1
Krt74,-19.1
Serpinh1,-19.1
Aldoa,-18.7
Krt77,-18.7
640374,-18.3
EG277333,-18.3
ENSMUSG00000070443,-18.3
Krt5,-18.3
Fus,-17.4
Rad23b,-17.4
Krt6a,-17.2
Krt6b,-17.2
Anxa11,-17.1
Krt10,-16.6
Gart,-16.4
100040812,-16.3
EG545999,-16.3
Csda,-16.2
Ash2l,-16.1
OTTMUSG00000012316,-15.7
AU015228,-15.6
Gtf2e1,-15.6
Marcks,-15.6
Ptbp2,-15.4
EG433184,-15.2
LOC100048734,-15.2
Nampt,-15.0
Ppm1g,-15.0
Hars,-14.9
Basp1,-14.5
Sfrs6,-14.1
Tomm70a,-13.9
Slc3a2,-13.7
Col4a1,-13.6
Tufm,-13.6
ENSMUSG00000071102,-13.5
Abce1,-13.2
Trim28,-13.1
Bat1a,-12.8
Ddx39,-12.8
Ubr5,-12.3
Ctps,-12.2
100041831,-11.7
EG432987,-11.4
Krt16,-11.4
Krt75,-11.4
Cat,-11.3
LOC100045782,-11.3
Lrrc47,-11.3
Atp6v1a,-11.2
Krt79,-11.2
Krt15,-11.0
Ugdh,-10.9
Srp72,-10.8
Pklr,-10.7
Farsa,-10.6
Hnrnpl,-10.6
Farsb,-10.4
Hmgcs1,-10.4
Picalm,-10.4
Snap91,-10.4
Nmt1,-10.3
Hnrnpr,-10.2
LOC100047129,-10.2
Hnrpll,-10.1
1810053B01Rik,-10.0
Igf2bp3,-9.9
Snx1,-9.8
Dlst,-9.5
Prune,-9.5
Puf60,-9.4
Arcn1,-9.3
Ddx6,-9.3
Dld,-9.3
Ppm1b,-9.0
Prim2,-8.4
Necap2,-8.3
Pdxp,-8.3
Srm,-8.3
Zfp622,-8.3
LOC638434,-8.0
Gapdhs,-7.8
Trim66,-7.7
Ubqln1,-7.6
Ubqln2,-7.6
LOC640020,-7.4
Pold2,-7.4
Rasip1,-7.3
3000002C10Rik,-7.2
Col27a1,-7.1
Stab2,-7.1
Cap1,-6.9
Pitpnm1,-6.9
Pepd,-6.8
Dnajc11,-6.7
Lamb2,-6.7
Med1,-6.7
Srfbp1,-6.7
Vps13c,-6.7
Smchd1,-6.6
Stk24,-6.5
Stk25,-6.5
EG665823,-6.3
Heatr3,-6.3
OTTMUSG00000001634,-6.3
OTTMUSG00000010975,-6.3
100039484,-6.1
100039503,-6.1
Anxa3,-6.1
Dctn2,-5.8
Ero1l,-5.6
Krt14,-5.6
Krt25,-5.6
Krt27,-5.6
Krt78,-5.5
Sept6,-5.4
Crocc,-5.3
Lmnb1,-5.3
Ctps2,-5.1
Kpna3,-4.9
Pspc1,-4.9
D10Wsu52e,-4.7
ENSMUSG00000047016,-4.7
Igf2bp2,-4.6
Krt76,-4.6
U2af2,-4.6
Prkcsh,-4.5
Sf1,-4.4
Prmt5,-4.3
Rbm39,-4.3
Taf15,-4.3
Snx2,-4.2
Fkbp5,-3.9
EG215974,-3.8
LOC100045318,-3.8
Pabpc5,-3.8
Dnpep,-3.6
Eef2,-3.6
Eif3d,-3.6
Ehd1,-3.5
Bsg,-3.4
Gtf2f1,-3.4
Blmh,-3.3
Snrp70,-3.3
Cald1,-3.2
Cmtm6,-2.9
Srp68,-2.9
Vps54,-2.9
Adamts12,-2.8
Kpna2,-2.7
LOC100048245,-2.7
Enah,-2.6
Gpd2,-2.6
Ndufs1,-2.6
Snw1,-2.6
Eif2b4,-2.5
Rod1,-2.5
Sept10,-2.5
Sept7,-2.5
Sept8,-2.5
100042970,-2.4
Hmgcs2,-2.4
Kifc1,-2.4
LOC100044006,-2.4
LOC100044746,-2.4
P4ha1,-2.4
Usp1,-2.4
Dusp9,-2.3
Fxr1,-2.3
Fxr2,-2.3
Hadhb,-2.3
OTTMUSG00000015054,-2.3
Aatf,-2.2
Ckap4,-2.2
EG545741,-2.2
EG668192,-2.2
LOC100045658,-2.2
LOC676923,-2.2
Prss1,-2.2
Psmd5,-2.2
Edc3,-2.1
EG545878,-2.1
Vps4b,-2.1
Ebna1bp2,-2.0
1810065E05Rik,-1.9
Dmxl2,-1.9
Lyplal1,-1.9
Ccdc25,-1.8
EG383341,-1.8
EG665964,-1.8
EG667035,-1.8
LOC677487,-1.8
Lrfn5,-1.8
OTTMUSG00000004016,-1.8
OTTMUSG00000009528,-1.8
Rps27a,-1.8
Sfrs4,-1.8
Sfrs5,-1.8
Atad5,-1.7
Cnnm3,-1.7
Ddx56,-1.7
