gene.symbol,log.expect
Vim,-330.7
Hspd1,-302.3
Hspa8,-294.6
Actb,-276.1
Atp5b,-272.1
Lmnb1,-234.4
Tubb5,-232.2
OTTMUSG00000005441,-230.4
Tubb2c,-229.8
Atp5a1,-229.0
Pkm2,-220.2
Actg1,-212.9
Tuba1b,-196.2
Nol5a,-195.8
Tuba1c,-186.6
Tubb2a,-182.2
Tubb2b,-182.2
Tuba1a,-182.1
Hnrnpk,-179.1
Nol5,-171.0
Ddx5,-167.8
Tubb4,-167.5
Ptbp1,-158.8
EG434428,-154.5
Hnrnpa3,-144.6
Tuba4a,-144.3
Bat1a,-142.3
Rsl1d1,-142.1
Hspa9,-140.8
Ddx39,-139.9
Rpl4,-139.2
Acta1,-136.9
Actc1,-136.9
Ddx3x,-135.7
EG627828,-130.9
EG668559,-130.9
OTTMUSG00000004599,-130.9
Igf2bp1,-126.6
Acta2,-126.3
Eef1a1,-123.6
Tubb3,-123.0
LOC100045189,-119.2
Ybx1,-119.2
Tuba8,-118.4
EG432946,-115.6
Eif4a1,-113.0
Hnrnpf,-112.1
Hnrnpa2b1,-109.2
LOC100045191,-109.2
D1Pas1,-103.7
Eif4a3,-103.3
Actg2,-102.4
Pdia3,-102.4
Cct3,-102.2
Ddx3y,-101.5
LOC630401,-101.2
Lyar,-99.9
Cct2,-99.3
Ssb,-98.2
Hnrnpa1,-96.2
Eno1,-95.5
Nono,-94.1
Npm1,-93.8
LOC100043000,-92.7
LOC674810,-92.7
Hnrnph1,-92.6
Cct6a,-92.1
Eif4a2,-87.8
Ruvbl2,-87.4
Syncrip,-87.4
Rpl3,-85.9
OTTMUSG00000008543,-85.6
Hspa2,-85.1
Pa2g4,-84.8
EG434080,-84.7
Tkt,-84.5
Ruvbl1,-84.3
Hspa5,-84.1
Hist1h1c,-82.5
Rbm39,-82.5
Eef1g,-79.3
LOC674678,-78.3
Actbl2,-77.3
LOC100046628,-76.5
Tubb6,-75.9
Utf1,-75.5
Dkc1,-75.4
Tardbp,-73.9
Pabpc1,-72.4
Hnrnph2,-71.9
Hist1h1e,-71.4
Gdi2,-70.8
Serbp1,-70.7
Hist1h1d,-69.4
Nap1l1,-66.9
Hnrnpd,-66.7
Fus,-66.5
LOC641170,-66.4
Ilf2,-66.1
Hnrnpc,-66.0
Cct5,-64.1
Cct8,-63.8
Rcc1,-62.2
Hist1h1a,-61.7
Hnrnpab,-61.3
Shmt2,-58.9
100042959,-58.7
EG433283,-58.0
Puf60,-57.5
Rbmx,-57.4
Fubp3,-57.1
ENSMUSG00000047676,-56.7
Cct4,-56.0
Ddx47,-55.3
LOC633387,-54.9
Rpsa,-54.7
Tcp1,-54.6
Eef1a2,-54.5
Cct7,-54.2
Rbbp4,-53.6
G3bp1,-53.1
Stip1,-53.1
Hnrnpl,-51.8
Pabpc2,-51.2
U2af2,-51.2
Rbbp7,-49.8
LOC100047882,-49.4
LOC100046302,-49.2
100039840,-49.0
100040109,-49.0
100041236,-49.0
100042427,-49.0
EG434373,-49.0
ENSMUSG00000070025,-49.0
LOC100042025,-49.0
LOC100047352,-49.0
LOC100048117,-49.0
LOC100047092,-48.4
EG433225,-47.7
Pdia6,-47.7
Hist1h2bh,-47.3
Hist1h2bk,-47.3
Hist1h2bm,-47.3
Rbmxl2,-46.7
Pgk1,-45.1
Dek,-44.7
Gpi1,-44.7
H2afj,-44.2
Hist1h2aa,-44.2
Hist1h2af,-44.2
Hist1h2ah,-44.2
Hist1h2ak,-44.2
Hist3h2a,-44.2
Hspa1b,-43.2
Hist1h1b,-42.9
Csda,-42.4
Krt5,-42.2
Sfrs6,-42.1
Hspa1l,-41.7
Eno3,-40.6
Uqcrc1,-40.6
LOC100047232,-40.0
OTTMUSG00000011310,-40.0
Hist1h2bp,-39.7
Hist2h2bb,-39.7
Pabpc3,-39.6
Krt1,-38.1
LOC100045908,-37.5
Tufm,-37.5
Hnrnpu,-36.9
P4hb,-36.3
LOC100046039,-35.7
Api5,-35.5
Des,-35.5
Kpna2,-35.1
LOC100045569,-34.9
Myef2,-34.9
Tmpo,-34.8
Uqcrc2,-34.7
100041204,-34.4
100043724,-34.4
ENSMUSG00000070408,-34.4
ENSMUSG00000072432,-34.4
LOC100044981,-34.4
OTTMUSG00000014946,-34.4
3300001P08Rik,-34.2
Rbmxrt,-34.1
Hnrnpr,-33.8
Hsp90ab1,-33.2
Eif2s2,-32.4
ENSMUSG00000052825,-32.4
Sfrs2,-32.1
Krt10,-31.9
100039419,-31.7
Aldoa,-31.7
Eif2s3x,-31.7
Eif2s3y,-31.7
LOC100048746,-31.7
Krt76,-31.4
LOC100048437,-31.3
Hdac2,-31.1
H2afx,-31.0
Hist2h2be,-30.6
Hist3h2ba,-30.6
Hist3h2bb,-30.6
EG432987,-30.3
Krt6a,-30.3
Krt6b,-30.3
Krt75,-30.3
EG544954,-30.2
Aldh2,-29.8
LOC100048245,-29.5
100040812,-28.0
OTTMUSG00000007761,-27.6
Pabpc4,-27.6
Krt71,-27.5
Krt73,-27.5
Krt74,-27.5
Pes1,-27.4
Ybx2,-27.4
Rcc2,-27.2
LOC676974,-27.0
Psip1,-26.9
Wdr12,-26.7
Hist1h1t,-26.3
Dazap1,-25.9
EG666342,-25.5
LOC100039762,-25.5
Krt77,-25.4
Calr,-25.2
Khdrbs1,-25.2
EG620213,-25.1
EG627889,-25.1
Rpl6,-25.1
Eno2,-23.6
Taf15,-23.4
640374,-23.0
EG277333,-23.0
ENSMUSG00000070443,-23.0
Paics,-22.9
Fkbp4,-22.2
Pspc1,-22.2
St13,-22.1
Utp3,-22.0
LOC100045903,-21.8
G3bp2,-21.6
Nap1l4,-21.5
BC085271,-21.1
Serpinh1,-20.8
Etf1,-20.4
Sfrs7,-20.3
Dnmt3l,-19.5
Actn4,-19.4
Actl6a,-19.3
Prpf19,-19.3
Hnrpdl,-19.2
EG432502,-19.0
Hist1h2ba,-19.0
Aldoart2,-18.9
Gnl3,-18.7
Ddx49,-18.6
LOC636901,-18.6
OTTMUSG00000012316,-18.5
ENSMUSG00000048365,-18.0
Rnps1,-18.0
Trap1,-18.0
Ctnnbl1,-17.9
Tubb1,-17.9
Pabpn1,-17.8
Krr1,-17.6
LOC677344,-17.6
Coro1c,-17.5
Cs,-17.4
EG433184,-17.4
Rbm14,-17.0
Hsp90aa1,-16.9
AI595406,-16.4
Impdh2,-16.2
OTTMUSG00000019498,-16.2
671392,-15.4
Krt4,-15.1
Dpf2,-15.0
Eif3e,-15.0
Gdi1,-15.0
Rrp9,-15.0
100041831,-14.9
Krt79,-14.9
OTTMUSG00000007757,-14.9
ENSMUSG00000071102,-14.7
OTTMUSG00000007648,-14.7
Basp1,-14.5
Rrp1,-14.4
LOC100045318,-14.3
LOC100047129,-14.2
Utp15,-14.1
Mdc1,-13.3
Actn1,-13.2
Ctbp1,-13.2
Ddx56,-13.2
Hnrnpa0,-13.1
Krt78,-13.1
EG665823,-12.7
OTTMUSG00000001634,-12.7
Psmc4,-12.7
H2afz,-12.6
Sf3a3,-12.6
Ola1,-12.5
Snw1,-12.5
LOC100044829,-12.4
Ddx21,-12.1
Utp18,-12.1
EG384885,-11.8
LOC636877,-11.8
Csl,-11.6
Ptbp2,-11.6
Krt72,-11.5
LOC100046435,-11.2
Prpf4,-11.1
Krt14,-10.9
Krt15,-10.9
Krt16,-10.9
Ppp2r1a,-10.8
Tubal3,-10.7
Igf2bp3,-10.5
Lbr,-10.5
Cct6b,-10.4
Snrp70,-10.3
Ppp2r1b,-10.0
Gapdhs,-9.9
Sdha,-9.9
3930401K13Rik,-9.8
LOC100047898,-9.7
Psmd11,-9.6
Shmt1,-9.6
Rpn1,-9.4
Bysl,-9.3
H2afy,-9.3
Isg20l2,-9.3
LOC100046770,-9.3
Pcbp1,-9.1
Srfbp1,-9.1
Poldip3,-8.8
Rad23b,-8.8
Smarcd1,-8.4
EG432951,-8.3
Nolc1,-8.3
EG665964,-8.1
EG667035,-8.1
LOC677487,-8.1
OTTMUSG00000004016,-8.1
Rps27a,-8.1
Sfrs1,-8.1
Cpsf6,-7.9
Tlr3,-7.9
Atic,-7.8
Prph,-7.8
Krt13,-7.6
Psmc5,-7.6
Eif4g2,-7.4
Rbm31y,-7.4
Ddx17,-7.3
Krt31,-7.3
OTTMUSG00000010975,-7.2
Lmnb2,-7.1
Pik3c2a,-7.1
Ckap4,-7.0
Phb2,-7.0
Ptk7,-7.0
LOC100048743,-6.9
3000002C10Rik,-6.8
Kndc1,-6.8
Pcdh21,-6.8
Fscn1,-6.7
Dnahc2,-6.4
Mga,-6.4
EG215974,-6.3
Dnaja2,-6.2
Grwd1,-6.0
Nxf1,-5.8
Aatf,-5.2
Psmc2,-5.2
Rrs1,-5.2
Eif3f,-5.1
Krt25,-5.1
Krt27,-5.1
Ddost,-5.0
Ssrp1,-4.9
Rpn2,-4.7
Pcbp2,-4.6
Actr3,-4.4
Actr3b,-4.4
Luc7l,-4.3
Psmc1,-4.3
Trim28,-4.2
Farsa,-4.1
ENSMUSG00000068141,-4.0
Kpna3,-4.0
U2af1,-4.0
U2af1l4,-4.0
Fkbp8,-3.9
Glud1,-3.9
Ina,-3.9
LOC100045304,-3.9
LOC100047943,-3.9
Nefh,-3.9
Nefl,-3.9
Nefm,-3.9
Nudc,-3.9
Elavl1,-3.8
Phgdh,-3.8
Top2a,-3.8
EG545741,-3.7
EG668192,-3.7
LOC676923,-3.7
Raly,-3.6
Rpl3l,-3.6
H2afv,-3.5
Sf1,-3.5
4732456N10Rik,-3.4
EG406223,-3.4
Krt7,-3.4
Krt8,-3.4
Krt84,-3.4
Surf6,-3.4
AU015228,-3.3
Gtf2e1,-3.3
OTTMUSG00000009528,-3.3
Sfrs4,-3.3
Sfrs5,-3.3
EG268795,-3.2
EG434426,-3.2
EG622727,-3.2
LOC677073,-3.2
Orc5l,-3.1
Coq6,-3.0
EG632248,-3.0
Sfrs3,-3.0
Cmtm6,-2.8
D10Wsu52e,-2.8
Dlat,-2.8
LOC100045887,-2.8
Sfpq,-2.8
Vdac1,-2.8
Vdac3,-2.8
Hadhb,-2.7
Hnrnpm,-2.7
OTTMUSG00000015054,-2.7
EG383341,-2.6
Eif2a,-2.6
Khdrbs2,-2.5
Khdrbs3,-2.5
Ptpra,-2.5
Tg,-2.5
Mocs3,-2.4
Igf2bp2,-2.3
Rpap1,-2.3
Bsg,-2.2
EG544973,-2.2
OTTMUSG00000005773,-2.2
OTTMUSG00000007855,-2.2
Gltscr2,-2.1
Frmd4a,-2.0
Frmd4b,-2.0
Psmc3,-1.9
Ssh1,-1.9
EG667618,-1.8
Eif3eip,-1.8
Kpna4,-1.8
Nmt1,-1.8
Nmt2,-1.8
Whdc1,-1.8
Nudt13,-1.7
Rogdi,-1.7
2010300C02Rik,-1.6
EG433326,-1.6
Hnrnph3,-1.6
Itpkc,-1.6
Krt17,-1.6
Krt18,-1.6
Krt19,-1.6
Krt24,-1.6
Krt32,-1.6
Krt33b,-1.6
Krt35,-1.6
Krt36,-1.6
Krt40,-1.6
Perld1,-1.6
Pgk2,-1.6
Pklr,-1.6
Slc25a31,-1.6
Slc25a4,-1.6
Slc25a5,-1.6
Sypl2,-1.6
Ubp1,-1.6
Cdc2l5,-1.5
Cops3,-1.5
D19Bwg1357e,-1.5
ENSMUSG00000074128,-1.5
Hand1,-1.5
Otop1,-1.5
Plrg1,-1.5
Prr11,-1.5
Sept6,-1.5
Set,-1.5
Slc18a3,-1.5
Trim3,-1.5
4930401F20Rik,-1.4
Cd163,-1.4
EG215208,-1.4
Gm600,-1.4
H2afy2,-1.4
H2afy3,-1.4
Lbp,-1.4
Nup214,-1.4
Zfp91,-1.4
Acp5,-1.3
Adprhl2,-1.3
Ccdc116,-1.3
Dus2l,-1.3
EG383462,-1.3
EG432879,-1.3
EG621605,-1.3
Got2,-1.3
Ikzf4,-1.3
Jph3,-1.3
Pdgfra,-1.3
Zdhhc20,-1.3
A430108E01Rik,-1.2
Csnk2a1,-1.2
D15Wsu75e,-1.2
Dmxl2,-1.2
Glb1l3,-1.2
Itga2b,-1.2
LOC100047237,-1.2
LOC100047342,-1.2
Mag,-1.2
Mcam,-1.2
Mycbpap,-1.2
Pvr,-1.2
Slc12a2,-1.2
Slc28a3,-1.2
Spint1,-1.2
Ube2j2,-1.2
Zfp219,-1.2
Abca13,-1.1
Ctr9,-1.1
Ddef1,-1.1
EG667693,-1.1
Exosc5,-1.1
Gm906,-1.1
Gpr156,-1.1
LOC100045359,-1.1
LOC100045484,-1.1
LOC100046180,-1.1
LOC674773,-1.1
Mlph,-1.1
Pard3,-1.1
Pde6b,-1.1
Prss1,-1.1
R3hcc1,-1.1
Rgs14,-1.1
Sfrs10,-1.1
Uhrf1bp1l,-1.1
Zfhx2,-1.1
Fhdc1,-1.0
Tspan4,-1.0
Xirp2,-1.0
