gene.symbol,log.expect
PRMT5,-336.9
PSMD13,-258.6
TUBA1A,-165.5
TUBB,-157.8
WDR77,-130.5
TUBA1B,-126.7
PSMD12,-126.5
TUBB2C,-119.9
TUBA4A,-115.5
PSMD7,-107.0
TTN,-101.7
PSMD3,-100.6
PSMD11,-97.4
PSMD14,-92.9
PSMC1,-91.6
LOC92755,-90.1
TUBB4,-86.9
EEF1A1,-81.5
PSMC3,-81.3
TUBB2A,-80.2
TUBB2B,-80.2
TUBA8,-78.8
TUBA1C,-76.5
PSMD2,-73.0
LRP1,-66.5
CLNS1A,-56.3
TUBB3,-56.1
PSMA5,-52.4
PSMC5,-50.4
LRP8,-47.0
PSMC2,-46.4
MLEC,-41.6
SIX3,-39.8
PSMD8,-35.5
EEF1A2,-35.4
FANCI,-34.5
LOC652826,-34.4
PSMC4,-34.4
KRT10,-33.1
STK38L,-30.7
STK38,-30.1
SCUBE2,-28.7
THSD7A,-28.2
FBN3,-27.4
ADRA1D,-26.9
LOC643224,-25.8
MTHFD2,-24.8
RPA2,-24.8
PSMD4,-23.8
HSPA1L,-23.6
TUBB4Q,-23.3
NRN1L,-23.1
ITPR2,-22.3
ATRX,-21.8
LOC728849,-21.8
CD244,-21.3
FOXQ1,-21.3
DGCR8,-20.9
PSMA4,-20.6
LOC100130211,-20.4
ARAP1,-20.3
HERC1,-19.9
TTMA,-19.8
PSMC6,-19.0
SLC25A5,-18.9
TUBB6,-18.7
HEATR7A,-15.8
HTR1F,-15.4
KRT75,-15.1
KRT79,-15.1
DNAH3,-14.9
KRT2,-14.8
KRT5,-14.8
MTMR10,-14.8
PSMA1,-14.8
PSMA6,-14.8
KRT6B,-14.7
KRT6C,-14.7
ZFYVE16,-14.7
A2M,-14.5
LOC647000,-14.5
NASP,-14.5
NOTCH2,-14.5
PIPSL,-14.5
MTA2,-14.2
ABL2,-14.1
GGT7,-14.1
APP,-14.0
MLL3,-14.0
CRB1,-13.9
EPHB3,-13.9
MAGEC1,-13.8
TMCO3,-13.8
ITGB7,-13.7
TUBAL3,-13.6
TYRO3,-13.6
LRP2,-13.5
MYOD1,-13.5
SHKBP1,-13.5
LRRC24,-13.4
MAGEA3,-13.4
RBX1,-13.4
COL4A5,-13.3
KIF3B,-13.3
MKI67,-13.3
SCARA3,-13.3
LAMC2,-13.1
HSPA6,-12.6
PSMB7,-11.4
SLC25A6,-10.2
SEC23A,-9.7
CACNA1S,-9.3
SLC25A22,-9.1
CHRNB2,-9.0
SNRPD3,-9.0
MARCH3,-8.9
KRT6A,-8.8
SLC26A7,-8.8
WDR52,-8.7
ZNF747,-8.7
MFAP2,-8.6
HSPBAP1,-8.5
UBR1,-8.5
PCSK6,-8.4
UNQ5836,-8.4
PSMD6,-8.2
SOX17,-8.2
CLDN4,-8.1
DNASE1,-8.1
HSPG2,-8.1
PCDHA4,-8.1
TRIM21,-8.1
