gene.symbol,log.expect
PRMT5,-180.6
FLNA,-172.4
ACTB,-169.8
ACTG1,-169.8
RAD50,-121.5
IVNS1ABP,-117.0
PRPS2,-98.3
ACTA1,-96.2
ACTC1,-96.2
ACTA2,-87.3
ACTG2,-87.3
EIF4B,-79.8
PRPS1,-72.4
HNRNPD,-68.9
HNRNPL,-67.8
ACTBL3,-61.1
HNRNPA2B1,-55.9
WDR77,-49.4
LOC653269,-44.1
NBN,-42.6
SNRPD1,-42.6
KIF11,-40.6
PRPSAP2,-40.0
RPLP2,-38.6
NPM1,-38.0
YBX1,-37.4
LOC653781,-35.3
HNRNPK,-35.1
HNRNPA1,-34.7
HNRNPA1L2,-34.7
HNRPA1L3,-34.7
ACTBL2,-34.2
STK38,-34.1
ERH,-30.7
HNRNPAB,-29.8
TRIM21,-28.6
LOC645691,-28.2
MRE11A,-27.3
THRAP3,-27.2
PRPSAP1,-25.7
RPS15A,-24.2
KIAA1543,-23.3
HIST1H2AC,-22.1
HIST1H2AH,-22.1
DBN1,-21.8
EIF3A,-20.6
HSPA8,-20.2
CPNE3,-19.0
RPS3,-19.0
CHD4,-18.9
HSPA9,-17.8
TUBB,-17.1
TUBB2A,-17.1
TUBB2B,-17.1
TUBB2C,-17.1
TUBB4,-17.1
PRPF31,-16.2
HIST1H2AD,-16.1
HIST3H2A,-16.1
TOP1,-16.0
HNRNPU,-15.2
LPCAT4,-14.9
HIST2H2AC,-14.2
KHSRP,-14.0
DNAH5,-13.9
EIF3K,-13.9
FANCG,-13.8
KAT2B,-13.7
COL7A1,-13.2
DHX9,-12.8
CCT2,-11.9
RPL12,-11.3
RPL12_4_315,-11.3
RPL12P2,-11.3
BANF1,-11.2
LOC645870,-11.2
RPS21,-11.0
RPS5,-10.5
EEF1A1,-10.4
EEF1A2,-10.4
SNRPD3,-10.1
BCLAF1,-9.9
LOC731605,-9.9
SF3B5,-9.6
SYNCRIP,-9.6
HSPA2,-9.4
MYL6B,-9.1
IPO8,-8.6
NES,-8.6
RBM10,-8.6
CAPZB,-8.2
TMCC3,-8.2
COL9A1,-8.0
NHSL2,-8.0
RBM8A,-8.0
SPIRE2,-8.0
MTMR6,-7.8
FBN1,-7.7
CECR6,-7.5
FUS,-7.5
ATG2B,-7.4
PCDHB8,-7.4
SHE,-7.4
CDKN2AIPNL,-7.3
CEP68,-7.3
DOC2B,-7.3
DST,-7.3
KLF4,-7.3
HERC4,-7.2
LOC642132,-7.2
ROBO1,-7.2
TSHZ3,-7.2
RPS20,-7.1
MAGEB16,-6.9
MAGEE1,-6.9
USP42,-6.8
HNRPDL,-6.6
RPL14,-6.1
RPLP0_2_209,-6.0
RPLP0,-6.0
hCG_2004593,-5.8
hCG_22804,-5.8
hCG_39912,-5.8
LOC388474,-5.7
RPL7A_11_540,-5.7
RPL7A,-5.7
RPL23A,-5.2
TUBB3,-5.2
SPIN1,-5.1
RPL5,-4.9
KIF3B,-4.1
SF3B2,-4.0
MYH9,-3.5
RPS15A_3_41,-3.4
RPS15A_5_166,-3.4
LOC641814,-2.8
RPL6_1_44,-2.8
RPL6_14_853,-2.8
RPL6,-2.8
TMPO,-2.8
DDX23,-2.7
MMP15,-2.4
DAGLA,-2.3
MRPL49,-2.2
NDRG2,-2.2
PRPS1L1,-2.2
MAP1B,-2.1
RPS8,-2.1
RPS8_6_1418,-2.1
VIT,-2.1
HOOK2,-2.0
SPATA5L1,-2.0
ZDBF2,-2.0
HS3ST6,-1.9
CCDC49,-1.8
IFNA8,-1.8
MIB1,-1.8
SYN1,-1.8
API5,-1.7
LOC100131530,-1.7
SLC25A28,-1.7
ABCB5,-1.6
ARRDC4,-1.6
BCAT2,-1.6
EPCAM,-1.6
HIST1H1D,-1.6
LCT,-1.6
LOC541467,-1.6
MAK16,-1.6
MGC20647,-1.6
RPS12,-1.6
TNIP3,-1.6
TRIM13,-1.6
ADCY9,-1.5
CACNG8,-1.5
CCDC148,-1.5
CUL4A,-1.5
PGK2,-1.5
PIWIL1,-1.5
PRO1596,-1.5
STIL,-1.5
SUCLA2,-1.5
TMEM205,-1.5
ALPP,-1.4
ALPPL2,-1.4
COQ10A,-1.4
GRK7,-1.4
MRPL17,-1.4
MTHFD2L,-1.4
RPS15A_14_912,-1.4
RPS15A_8_485,-1.4
SCARF2,-1.4
SCGB1A1,-1.4
SGK3,-1.4
SPRED1,-1.4
AIF1L,-1.3
CDC2,-1.3
CES8,-1.3
CRB2,-1.3
CTAG2,-1.3
DCHS2,-1.3
DDX46,-1.3
DHX29,-1.3
IL6,-1.3
KCNMB2,-1.3
MIA,-1.3
MORF4L2,-1.3
NPTX1,-1.3
NUP85,-1.3
PCDHB10,-1.3
PLCG2,-1.3
PSG1,-1.3
SNCA,-1.3
SNCB,-1.3
THOC2,-1.3
TMEM92,-1.3
TRIM37,-1.3
ZDHHC14,-1.3
ZSCAN20,-1.3
ZSCAN29,-1.3
ARHGAP20,-1.2
ATF7IP,-1.2
C5orf13,-1.2
DAB1,-1.2
DAZAP1,-1.2
DSG2,-1.2
ELL3,-1.2
FOXA1,-1.2
HSPB7,-1.2
IQGAP2,-1.2
LOC100131034,-1.2
LOC730032,-1.2
MTDH,-1.2
OTUD7B,-1.2
PEX16,-1.2
PPFIBP1,-1.2
SESTD1,-1.2
SLC30A3,-1.2
SPATA5,-1.2
STON1,-1.2
TRIM71,-1.2
ZFP36L2,-1.2
ABCC1,-1.1
ACADVL,-1.1
ANAPC1,-1.1
CHMP5,-1.1
CNTD2,-1.1
COIL,-1.1
CTXN3,-1.1
DIAPH1,-1.1
DPEP1,-1.1
EHMT1,-1.1
ETAA1,-1.1
FBN2,-1.1
G3BP1,-1.1
G3BP2,-1.1
GLG1,-1.1
HOXB3,-1.1
LOC100128909,-1.1
LOC100132832,-1.1
LOC441259,-1.1
LOC652200,-1.1
MAP3K11,-1.1
MVD,-1.1
ODZ1,-1.1
PMS2L12,-1.1
PMS2L3,-1.1
PTPN4,-1.1
RNF165,-1.1
RNMT,-1.1
RYR1,-1.1
SCRN3,-1.1
TDRD6,-1.1
TEX14,-1.1
TTK,-1.1
VWA5A,-1.1
WDYHV1,-1.1
ZNF10,-1.1
ZNF74,-1.1
AP2A1,-1.0
CECR5,-1.0
CEP164,-1.0
DSTYK,-1.0
EIF4G3,-1.0
LUZP4,-1.0
MLLT3,-1.0
MRVI1,-1.0
NMI,-1.0
NOM1,-1.0
ZNF536,-1.0
