gene.symbol,log.expect
PRMT5,-81.4
TTN,-60.6
WDR77,-47.3
RBM10,-42.8
MED14,-41.0
IPO8,-35.3
KRT10,-32.1
STK38L,-30.6
CLNS1A,-29.8
STBD1,-27.1
HNRNPH1,-26.4
EIF4B,-22.7
KRT2,-22.7
HSPG2,-21.7
MLL4,-21.0
RGS12,-20.7
BSN,-20.6
GBX1,-19.6
HNRNPH2,-19.4
ALG5,-16.8
RPS2P5,-15.5
SNRPB,-15.4
ANKHD1,-14.5
DYNC2H1,-14.1
ABCB1,-14.0
PCLO,-14.0
LOC100131780,-13.7
STK38,-13.7
IQWD1,-13.6
MEPCE,-13.5
HEATR1,-13.4
TCOF1,-13.2
PRPS1,-10.8
KRT14,-10.1
QSOX2,-9.2
SNRPD1,-8.5
ARAP1,-8.4
QTRTD1,-8.3
ZNRF3,-8.3
ARG2,-8.2
HS3ST4,-8.1
TTK,-8.1
FRS2,-8.0
PPM1H,-8.0
AP1B1,-7.9
C17orf28,-7.8
CIC,-7.8
ROM1,-7.8
C4orf29,-7.7
C6orf199,-7.7
FOXD1,-7.7
MFHAS1,-7.7
PTPRO,-7.7
SLC4A1AP,-7.7
TOPBP1,-7.7
FOXD4L5,-7.6
IFRD1,-7.6
MVP,-7.6
DNAH1,-7.5
KCNA5,-7.5
RPGRIP1,-7.5
ZNF720,-7.5
EMR3,-7.4
AMICA1,-7.3
GAR1,-7.3
MGLL,-7.3
TM9SF3,-7.3
ATP2B3,-7.2
C10orf85,-7.2
CCDC117,-7.2
GPATCH8,-7.2
MDK,-7.2
RASGRF1,-7.2
CACNA1E,-7.1
DNM2,-7.1
EXD1,-7.1
MT1H,-7.1
MYBBP1A,-7.1
NOL7,-7.1
ABCA12,-7.0
C3orf73,-7.0
POLD1,-7.0
SCN10A,-7.0
AKAP13,-6.9
ARHGEF18,-6.9
RRP15,-6.8
SCAMP3,-6.8
LOC440786,-5.4
LOC651751,-5.4
IVNS1ABP,-5.0
KRT16,-4.3
KRT25,-4.3
KRT26,-4.3
KRT27,-4.3
KRT28,-4.3
PRPS1L1,-4.1
SLC26A7,-3.7
RIOK1,-2.9
SNRPD3,-2.9
HMG20B,-2.8
KIF11,-2.4
LOC730054,-2.4
PTPN5,-2.4
USP15,-2.4
C5orf40,-2.2
NUP85,-2.2
RALGDS,-2.2
SEC31A,-2.1
ADSSL1,-2.0
CCDC76,-2.0
CLDN22,-2.0
GARNL1,-2.0
HSD11B2,-2.0
RBM35B,-2.0
SRL,-2.0
USP26,-2.0
HMGXB3,-1.9
ABL2,-1.8
ALG14,-1.8
FLJ10404,-1.8
HTR2A,-1.8
INPP4B,-1.8
MAP4K2,-1.8
MYOM3,-1.8
PIGZ,-1.8
WHSC2,-1.8
ABCA8,-1.7
ANGPTL4,-1.7
DOK5,-1.7
FDX1L,-1.7
LSM14A,-1.7
MCM5,-1.7
PPM1B,-1.7
TTC13,-1.7
WWC2,-1.7
ZNF823,-1.7
ATCAY,-1.6
BCAS3,-1.6
C12orf30,-1.6
C2orf67,-1.6
FOXP2,-1.6
GON4L,-1.6
ITGB1,-1.6
LOC100131294,-1.6
LOC100134222,-1.6
RPL12P2,-1.6
ASAH2,-1.5
ASAH2C,-1.5
BSCL2,-1.5
CTSE,-1.5
LOC100130954,-1.5
NLRP4,-1.5
SYN1,-1.5
TIPRL,-1.5
ZNF814,-1.5
CBWD1,-1.4
CBWD2,-1.4
CBWD3,-1.4
CBWD5,-1.4
CEP110,-1.4
CISH,-1.4
FBXO15,-1.4
LOC256374,-1.4
SMARCC2,-1.4
THBS4,-1.4
TOP2A,-1.4
AGXT2L1,-1.3
B3GNT6,-1.3
C19orf69,-1.3
EP300,-1.3
FER1L6,-1.3
FOXD4,-1.3
FOXD4L6,-1.3
LOC645822,-1.3
NEB,-1.3
PDAP1,-1.3
PSAP,-1.3
PTK2B,-1.3
RPS6KA5,-1.3
SFXN5,-1.3
TAC3,-1.3
AIM1,-1.2
C2orf42,-1.2
CCRL2,-1.2
CD1A,-1.2
CEACAM20,-1.2
CYC1,-1.2
IAPP,-1.2
IRX2,-1.2
MYCBPAP,-1.2
NVL,-1.2
OPTC,-1.2
SEPT14,-1.2
SH2B2,-1.2
TMEM132E,-1.2
WDR24,-1.2
ACTBL2,-1.1
AGBL3,-1.1
AKT1S1,-1.1
ATP11B,-1.1
C20orf71,-1.1
CYP4F11,-1.1
FAM134C,-1.1
KCTD11,-1.1
LOC100129112,-1.1
LOC100131102,-1.1
LOC646652,-1.1
LOC652147,-1.1
LOC729915,-1.1
LRRC53,-1.1
NR0B1,-1.1
NR5A1,-1.1
PEX6,-1.1
PPIH,-1.1
PTAFR,-1.1
S1PR5,-1.1
SKIV2L2,-1.1
SLC25A11,-1.1
SLC6A11,-1.1
TNFRSF21,-1.1
TRPM6,-1.1
UNQ9391,-1.1
ZC3H12C,-1.1
ZC3H3,-1.1
ZNF828,-1.1
C3orf44,-1.0
FBXW10,-1.0
GPR98,-1.0
JPH2,-1.0
LOC732391,-1.0
NPPA,-1.0
SRCAP,-1.0
TSC2,-1.0
ZBTB42,-1.0
