protein.Accession,protein.Description,protein.seqCover(%)_KOGSK_Rep1,protein.fmolOnColumn_KOGSK_Rep1,protein.ngramOnColumn_KOGSK_Rep1,protein.seqCover(%)_KOGSK_Rep2,protein.fmolOnColumn_KOGSK_Rep2,protein.ngramOnColumn_KOGSK_Rep2,protein.seqCover(%)_KOGSK_Rep3,protein.fmolOnColumn_KOGSK_Rep3,protein.ngramOnColumn_KOGSK_Rep3,protein.seqCover(%)_WT_Rep1,protein.fmolOnColumn_WT_Rep1,protein.ngramOnColumn_WT_Rep1,protein.seqCover(%)_WT_Rep2,protein.fmolOnColumn_WT_Rep2,protein.ngramOnColumn_WT_Rep2,protein.seqCover(%)_WT_Rep3,protein.fmolOnColumn_WT_Rep3,protein.ngramOnColumn_WT_Rep3
TCPG_HUMAN,T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4,55.41,2190.13,133.8264,38.17,619.8817,37.8775,63.3,560.6859,34.2603,65.32,164.5614,10.0554,48.44,243.1435,14.8571,58.17,605.2861,36.9856
CNN3_HUMAN,Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1,40.73,283.003,10.3536,30.7,24.1099,0.8821,58.05,46.787,1.7117,34.95,46.7958,1.712,36.78,53.5639,1.9596,47.42,69.7997,2.5536
RL26L_HUMAN,60S ribosomal protein L26-like 1 OS=Homo sapiens GN=RPL26L1 PE=1 SV=1,53.79,NaN,NaN,43.45,NaN,NaN,55.86,162.267,2.8001,48.97,134.6936,2.3243,46.9,243.7309,4.2059,54.48,415.5522,7.1709
H2A2C_HUMAN,Histone H2A type 2-C OS=Homo sapiens GN=HIST2H2AC PE=1 SV=4,40.31,NaN,NaN,37.98,NaN,NaN,43.41,NaN,NaN,37.21,NaN,NaN,40.31,NaN,NaN,34.88,NaN,NaN
RU2A_HUMAN,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens GN=SNRPA1 PE=1 SV=2,49.8,391.2632,11.1626,35.29,17.6049,0.5023,56.08,108.4227,3.0933,47.84,66.0131,1.8833,37.25,60.1891,1.7172,50.98,242.8113,6.9273
CD44_HUMAN,CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3,13.75,170.48,13.9881,31,106.0949,8.7052,36.25,46.4894,3.8145,18.46,45.527,3.7355,15.63,108.1107,8.8706,21.7,279.6183,22.943
EFTU_HUMAN,Elongation factor Tu_ mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2,67.92,1450.66,72.3644,62.39,1126.972,56.2176,65.71,726.351,36.2331,66.15,335.365,16.7293,46.02,305.0479,15.2169,60.4,416.6421,20.7837
TRNT1_HUMAN,CCA tRNA nucleotidyltransferase 1_ mitochondrial OS=Homo sapiens GN=TRNT1 PE=1 SV=2,46.54,124.268,6.2576,25.12,3.7301,0.1878,31.34,35.7417,1.7998,22.81,12.7685,0.643,39.63,23.531,1.1849,33.18,56.1188,2.8259
RS10_HUMAN,40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1,66.06,372.323,7.0361,58.79,174.8005,3.3033,67.27,100.6523,1.9021,51.52,142.9262,2.701,64.85,151,2.8536,62.42,252.6312,4.7742
H2AV_HUMAN,Histone H2A.V OS=Homo sapiens GN=H2AFV PE=1 SV=3,34.38,149.9854,2.0261,67.19,51.8447,0.7004,30.47,13.2028,0.1784,38.28,89.9257,1.2148,37.5,546.0244,7.3761,29.69,134.0412,1.8107
ACADV_HUMAN,Very long-chain specific acyl-CoA dehydrogenase_ mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1,47.63,433.7374,30.704,54.81,553.6019,39.1892,57.56,123.163,8.7186,43.82,75.4459,5.3408,43.05,152.1208,10.7686,52.21,180.7135,12.7926
ODO2_HUMAN,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex_ mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=4,45.7,269.0929,13.2118,54.08,44.8022,2.1997,49.67,116.1169,5.7011,25.83,50.2551,2.4674,50.55,114.7973,5.6363,54.75,175.4029,8.6119
RS10L_HUMAN,Putative 40S ribosomal protein S10-like OS=Homo sapiens GN=RPS10P5 PE=5 SV=1,59.09,NaN,NaN,41.48,3.0423,0.0617,43.18,NaN,NaN,36.93,7.0199,0.1424,36.93,1.7429,0.0354,38.07,NaN,NaN
EPHA2_HUMAN,Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2,34.32,435.0909,47.7509,18.34,12.2985,1.3498,28.38,122.4429,13.438,19.36,39.0564,4.2864,19.88,118.9992,13.0601,21.93,112.601,12.3579
