protein.key,protein.Entry,protein.Accession,protein.Description,protein.dataBaseType,protein.score,protein.falsePositiveRate,protein.avgMass,protein.MatchedProducts,protein.matchedPeptides,protein.digestPeps,protein.seqCover(%),protein.MatchedPeptideIntenSum,protein.top3MatchedPeptideIntenSum,protein.MatchedProductIntenSum,protein.fmolOnColumn,protein.ngramOnColumn,protein.AutoCurate,protein.Key_ForHomologs
853,sp|P60709|ACTB_HUMAN,Actin_,cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1,Regular,37842.0400,0.00,42079.0170,711,34,34,68.80,8472708,0,5083648,,,Green,23 24 436 437 457 472 523 13733 14098 14099 14126
523,sp|P63261|ACTG_HUMAN,Actin_,cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1,Regular,37842.0400,0.00,42135.1246,711,34,34,68.80,8472708,1857756,5083648,987.8423,41.6229,Green,23 24 436 437 457 472 853 13733 14098 14099 14126
8696,sp|P05783|K1C18_HUMAN,Keratin_,type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2,Regular,36064.0800,0.00,48057.8904,612,33,38,65.12,5064072,873444,2900215,464.4447,22.3202,Green,5597 5637 5745 5746 8638 8697 8698 8751 8754 8855 8888 9013 9102 9233 9351 9352
2816,sp|P61604|CH10_HUMAN,10,kDa heat shock protein_ mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2,Regular,32089.6900,0.00,10931.7085,253,12,12,86.27,2455061,864363,1002331,459.6160,5.0244,Green,
2701,sp|P10809|CH60_HUMAN,60,kDa heat shock protein_ mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2,Regular,30038.3200,0.00,61225.8520,842,51,53,62.65,7892502,1435327,3726142,763.2202,46.7288,Green,
5749,sp|P05787|K2C8_HUMAN,Keratin_,type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7,Regular,25818.7400,0.00,53704.3638,974,56,42,74.33,9754677,1175772,6226072,625.2045,33.5762,Green,4424 5639 5666 5667 5668 5747 5748 5804 5805 5853 7234 8642 8643 8644 8645 8699 8818 8819 8857 8858 8859 8860 8861 9103 9354 12805 19316
8697,sp|P08727|K1C19_HUMAN,Keratin_,type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4,Regular,25674.8500,0.00,44106.0704,722,47,42,85.00,7003593,1113403,3323719,592.0404,26.1126,Green,5597 5637 5745 5746 5807 8638 8639 8640 8695 8696 8698 8751 8754 8855 8888 9013 9102 9233 9351 9352
8271,sp|P01834|IGKC_HUMAN,Immunoglobulin,kappa constant OS=Homo sapiens GN=IGKC PE=1 SV=2,Regular,24660.2400,0.00,11936.1291,81,6,7,79.44,192134,169191,73404,89.9656,1.0738,Green,8371
8371,sp|P0DOX7|IGK_HUMAN,Immunoglobulin,kappa light chain OS=Homo sapiens PE=1 SV=1,Regular,24430.9500,0.00,23664.2431,76,5,12,31.31,190067,0,72993,,,Green,8271
14648,sp|P22626|ROA2_HUMAN,Heterogeneous,nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2,Regular,23032.8800,0.00,37486.7876,475,30,29,66.57,3184378,721942,1364100,383.8851,14.3906,Green,13355 15029
