gene.symbol,log.expect
ACTB,-101.7
ACTG1,-101.7
ACTA1,-67.2
ACTC1,-67.2
PRMT5,-64.2
TTN,-62.1
ACTA2,-60.5
ACTG2,-60.5
KRT1,-50.3
ACTBL3,-46.2
LOC653269,-33.9
CACNA1G,-28.2
ACTBL2,-22.3
KCNQ3,-20.5
LOC653781,-18.3
KIF11,-16.1
ACVR1B,-14.5
ZNF503,-14.2
MTCH1,-13.7
CRHBP,-13.1
LBXCOR1,-13.0
COL22A1,-12.8
LGTN,-9.5
ATG2B,-8.9
FRAP1,-8.0
SAPS2,-7.8
FOXA1,-7.6
NSD1,-7.5
MGEA5,-7.4
HECTD1,-7.2
LOC100132832,-7.2
CEP170,-7.0
RFX5,-7.0
AKAP9,-6.9
ZNF407,-6.9
ANKLE2,-6.8
LRRK1,-6.8
NHSL1,-6.8
SARM1,-6.8
SESTD1,-6.8
DIP2A,-6.7
LOC653881,-6.7
KRT10,-6.6
LANCL1,-4.3
MEP1A,-3.4
C2orf16,-3.2
KISS1R,-2.8
CBLN2,-2.7
LOC100131683,-2.7
PACS2,-2.6
BAT3,-2.3
FASTKD3,-2.3
DGCR2,-1.9
SEPT8,-1.8
ARHGAP21,-1.7
EPB41L2,-1.7
NBEAL2,-1.7
SMYD5,-1.7
TNFRSF10D,-1.7
ANXA1,-1.6
ATP7B,-1.6
BTN2A1,-1.6
CACNA2D4,-1.6
DICER1,-1.6
FBN2,-1.6
FBN3,-1.6
UBR3,-1.6
AHNAK,-1.5
ARHGDIB,-1.5
FKBP6,-1.5
KLC1,-1.5
LOC100133284,-1.5
LOC541473,-1.5
RBP3,-1.5
RTKN,-1.5
TRIM53,-1.5
CHD7,-1.4
DSC3,-1.4
DVL1,-1.4
LOC652147,-1.4
OTUD7B,-1.4
PKHD1,-1.4
RANBP3L,-1.4
RBM19,-1.4
CCDC85A,-1.3
CLIP3,-1.3
KIAA0999,-1.3
LOC100129633,-1.3
LOC100134398,-1.3
LOC440157,-1.3
LOC649294,-1.3
MDC1,-1.3
NUP85,-1.3
PSG1,-1.3
SLC26A9,-1.3
TGOLN2,-1.3
USP37,-1.3
ZNF334,-1.3
ACAT1,-1.2
ALB,-1.2
BHMT,-1.2
CFHR4,-1.2
CHGA,-1.2
CPSF6,-1.2
DSC1,-1.2
DUPD1,-1.2
GAPT,-1.2
KIF1B,-1.2
LOC100131744,-1.2
LOC441259,-1.2
MEGF8,-1.2
PAK2,-1.2
PMS2L12,-1.2
PMS2L3,-1.2
SLC27A4,-1.2
SYT14,-1.2
TFIP11,-1.2
TRIM25,-1.2
TRIP12,-1.2
ZNF536,-1.2
ABL1,-1.1
C21orf2,-1.1
C8orf58,-1.1
CDC2,-1.1
CPS1,-1.1
CRYL1,-1.1
CTF1,-1.1
EMILIN2,-1.1
FRMPD1,-1.1
GFPT1,-1.1
GPR179,-1.1
HELZ,-1.1
HIVEP1,-1.1
KCNT2,-1.1
KIAA1688,-1.1
KIAA1712,-1.1
KTN1,-1.1
LIPE,-1.1
LOC100132625,-1.1
LOC729040,-1.1
LYSMD1,-1.1
NFIC,-1.1
PLCB4,-1.1
RPL3L,-1.1
SNAPC3,-1.1
TMEM154,-1.1
TOP2A,-1.1
UNC5D,-1.1
USP29,-1.1
VAMP2,-1.1
ZC3H7B,-1.1
ZZZ3,-1.1
ABCA7,-1.0
ATRN,-1.0
ZNF264,-1.0
ZRANB2,-1.0
