gene.symbol,log.expect
ACTB,-85.5
ACTG1,-85.5
PRMT5,-58.3
WDR77,-56.0
ACTA1,-51.4
ACTA2,-51.4
ACTC1,-51.4
ACTG2,-51.4
ZC3H4,-27.3
LOC653269,-25.8
ACTBL3,-25.4
ZYX,-22.2
KIF11,-21.4
ACTBL2,-18.2
LOC653781,-17.3
SLTM,-14.8
CEP192,-14.3
MAP3K15,-13.8
FREM2,-13.7
CEP170,-13.5
ERH,-13.1
MDM4,-8.2
CD276,-7.9
USPL1,-7.9
LY75,-7.8
LCT,-7.6
SMYD5,-7.6
C1orf175,-7.5
NRBP1,-7.5
ARHGAP6,-7.3
ZNF434,-7.3
ATRX,-7.1
KLC4,-7.1
LOC100134349,-7.1
LOC728849,-7.1
MT1M,-7.1
LARP1,-7.0
PAPOLA,-7.0
COG1,-6.9
BCAT2,-6.8
DNMT1,-6.8
RTN4,-6.8
FAM116B,-6.7
NPHS2,-6.7
PSG1,-3.3
GPX1,-2.9
KRT18P33,-2.9
LOC644961,-2.8
LRMP,-2.5
DNAJC28,-2.4
ATG2B,-2.1
LOC254099,-2.1
LOC649201,-2.1
PLCB1,-2.0
BZRAP1,-1.9
C3,-1.9
TPM4,-1.9
FAM44A,-1.7
FOXRED1,-1.7
MIB2,-1.7
MMP15,-1.7
RPUSD4,-1.7
SHE,-1.7
BAT3,-1.6
CBLN2,-1.6
CDC2,-1.6
FOXA1,-1.6
TCF20,-1.6
USP19,-1.6
BUB3,-1.5
CLPP,-1.5
CYP4A11,-1.5
CYP4A22,-1.5
INPP4A,-1.5
PKD2,-1.5
PRKCZ,-1.5
ZNF536,-1.5
CENPE,-1.4
COL4A2,-1.4
HIP1,-1.4
KCNT2,-1.4
LGTN,-1.4
MYSM1,-1.4
NAB1,-1.4
OTUD7B,-1.4
RASGRP2,-1.4
RRM1,-1.4
SOCS5,-1.4
SYT14,-1.4
AIRE,-1.3
C18orf58,-1.3
CASC5,-1.3
CDH16,-1.3
CPNE7,-1.3
CRYGN,-1.3
LAMB3,-1.3
LILRB4,-1.3
POM121L2,-1.3
SLC25A28,-1.3
ASH1L,-1.2
KLHL38,-1.2
NID1,-1.2
POP1,-1.2
SAPS2,-1.2
TOP3B,-1.2
TRPM6,-1.2
ZNF32,-1.2
BRWD2,-1.1
CPSF6,-1.1
FBXW2,-1.1
IFNGR1,-1.1
JARID1C,-1.1
KL,-1.1
LOC100134398,-1.1
LRP2,-1.1
MAP3K5,-1.1
MAP3K6,-1.1
MYST3,-1.1
PPFIBP1,-1.1
SACS,-1.1
SLC27A4,-1.1
TDRD10,-1.1
THAP9,-1.1
TMCC2,-1.1
TP53BP2,-1.1
TRIM25,-1.1
ZNF334,-1.1
ALDH1A2,-1.0
C11orf87,-1.0
CRELD1,-1.0
KIF1B,-1.0
LRP1,-1.0
MLLT1,-1.0
MPHOSPH10,-1.0
PRKY,-1.0
WDR93,-1.0
